"","long","lat","group","order","region","subregion","avgvac"
"3574",-95.1396484375,30.7678337097168,2696,78297,"texas","san jacinto",0.945642367376399
"3575",-95.1511001586914,30.7334575653076,2696,78298,"texas","san jacinto",0.945642367376399
"3576",-95.1109924316406,30.6818885803223,2696,78299,"texas","san jacinto",0.945642367376399
"3577",-95.0537033081055,30.6876201629639,2696,78300,"texas","san jacinto",0.945642367376399
"3578",-95.0307769775391,30.6761589050293,2696,78301,"texas","san jacinto",0.945642367376399
"3579",-95.0250473022461,30.590217590332,2696,78302,"texas","san jacinto",0.945642367376399
"3580",-94.8359756469727,30.5615692138672,2696,78303,"texas","san jacinto",0.945642367376399
"3581",-94.85888671875,30.5386505126953,2696,78304,"texas","san jacinto",0.945642367376399
"3582",-94.85888671875,30.4985427856445,2696,78305,"texas","san jacinto",0.945642367376399
"3583",-95.1682891845703,30.3553047180176,2696,78306,"texas","san jacinto",0.945642367376399
"3584",-95.231315612793,30.3381156921387,2696,78307,"texas","san jacinto",0.945642367376399
"3585",-95.2485046386719,30.3896808624268,2696,78308,"texas","san jacinto",0.945642367376399
"3586",-95.2886123657227,30.4125995635986,2696,78309,"texas","san jacinto",0.945642367376399
"3587",-95.3459091186523,30.4870853424072,2696,78310,"texas","san jacinto",0.945642367376399
"3588",-95.3745574951172,30.527193069458,2696,78311,"texas","san jacinto",0.945642367376399
"3589",-95.3802871704102,30.8595085144043,2696,78312,"texas","san jacinto",0.945642367376399
"3590",-95.3573608398438,30.8881549835205,2696,78313,"texas","san jacinto",0.945642367376399
"3591",-95.3516311645508,30.8652362823486,2696,78314,"texas","san jacinto",0.945642367376399
"3592",-95.3172607421875,30.9110736846924,2696,78315,"texas","san jacinto",0.945642367376399
"3593",-95.2771530151367,30.9168033599854,2696,78316,"texas","san jacinto",0.945642367376399
"3594",-95.2427749633789,30.9053421020508,2696,78317,"texas","san jacinto",0.945642367376399
"3595",-95.2370452880859,30.8595085144043,2696,78318,"texas","san jacinto",0.945642367376399
"3596",-95.2026672363281,30.8365898132324,2696,78319,"texas","san jacinto",0.945642367376399
"3597",-97.5345993041992,28.1780643463135,2697,78321,"texas","san patricio",0.969708782741089
"3598",-97.5231475830078,28.1723346710205,2697,78322,"texas","san patricio",0.969708782741089
"3599",-97.494499206543,28.1895236968994,2697,78323,"texas","san patricio",0.969708782741089
"3600",-97.4257431030273,28.1264991760254,2697,78324,"texas","san patricio",0.969708782741089
"3601",-97.3283386230469,28.1551456451416,2697,78325,"texas","san patricio",0.969708782741089
"3602",-97.2882308959961,28.1035804748535,2697,78326,"texas","san patricio",0.969708782741089
"3603",-97.2538528442383,28.0749320983887,2697,78327,"texas","san patricio",0.969708782741089
"3604",-97.1392669677734,27.8915843963623,2697,78328,"texas","san patricio",0.969708782741089
"3605",-97.1965637207031,27.8572082519531,2697,78329,"texas","san patricio",0.969708782741089
"3606",-97.2309417724609,27.8400192260742,2697,78330,"texas","san patricio",0.969708782741089
"3607",-97.2481231689453,27.8400192260742,2697,78331,"texas","san patricio",0.969708782741089
