"","X1","Textbox87","Textbox82","nat_definition4","region_name_3","textbox37","Category3","textbox39","Assur_DestinationCity1","Cases3","Cases4"
"63",2468,"From: 01 Jan 2012","To: 31 Dec 2012","Arkansas",2012,10,"Burma",6,"Clarksville",2,66292
"64",10177,"From: 01 Jan 2013","To: 31 Dec 2013","Arkansas",2013,7,"Burma",5,"Clarksville",5,66066
"65",12968,"From: 01 Jan 2014","To: 31 Dec 2014","Arkansas",2014,9,"Burma",5,"Clarksville",5,72820
"66",26444,"From: 01 Jan 2015","To: 31 Dec 2015","Arkansas",2015,11,"Burma",11,"Clarksville",11,66517
"67",5125,"From: 01 Jan 2016","To: 31 Dec 2016","Arkansas",2016,22,"Burma",6,"Bethel Heights",6,96874
"68",69,"From: 01 Jan 2017","To: 31 Dec 2017","Arkansas",2017,47,"Afghanistan",1,"Phoenix",1,33368
"69",8535,"From: 01 Jan 2018","To: 31 Dec 2018","Arkansas",2018,71,"Dem. Rep. Congo",43,"Fayetteville",43,22874
"70",15778,"From: 01 Jan 2019","To: 31 Dec 2019","Arkansas",2019,37,"Colombia",5,"Fayetteville",5,27514
"71",29278,"From: 01 Jan 2002","To: 31 Dec 2002","California",2002,4895,"Afghanistan",201,"Burbank",6,30289
"72",53695,"From: 01 Jan 2003","To: 31 Dec 2003","California",2003,4615,"Afghanistan",196,"Alameda",10,32235
"73",35295,"From: 01 Jan 2004","To: 31 Dec 2004","California",2004,7332,"Afghanistan",101,"Alameda",3,56342
"74",38562,"From: 01 Jan 2005","To: 31 Dec 2005","California",2005,7102,"Afghanistan",57,"Alameda",1,51897
"75",44235,"From: 01 Jan 2006","To: 31 Dec 2006","California",2006,5316,"Afghanistan",65,"Citrus Heights",5,39552
"76",41561,"From: 01 Jan 2007","To: 31 Dec 2007","California",2007,6875,"Afghanistan",47,"Antelope",8,47753
"77",20371,"From: 01 Jan 2008","To: 31 Dec 2008","California",2008,9710,"Afghanistan",44,"Antelope",5,64733
"78",23361,"From: 01 Jan 2009","To: 31 Dec 2009","California",2009,11512,"Afghanistan",64,"Anaheim",1,79942
"79",46981,"From: 01 Jan 2010","To: 31 Dec 2010","California",2010,8036,"Afghanistan",98,"Alameda",3,71361
"80",49846,"From: 01 Jan 2011","To: 31 Dec 2011","California",2011,4165,"Afghanistan",93,"Anaheim",8,51458
"81",2472,"From: 01 Jan 2012","To: 31 Dec 2012","California",2012,6230,"Afghanistan",118,"Fremont",2,66292
"82",10179,"From: 01 Jan 2013","To: 31 Dec 2013","California",2013,5904,"Afghanistan",163,"Anaheim",3,66066
"83",12972,"From: 01 Jan 2014","To: 31 Dec 2014","California",2014,6239,"Afghanistan",132,"Antioch",4,72820
