"","occupation","lessthanhs","hsdiploma","somecollege","associates","bachelors","masters","professional","hsorless","somecollegeorassociates","postgrad","TOT_EMP","A_MEDIAN","natlwage","typicaled","workexp","probability","total"
"391","Self-Enrichment Education Teachers",1.8,10.2,18.4,8.5,35.9,20.5,4.7,12,26.9,25.2,238710,38440,10653627300,"High school diploma or equivalent","Less than 5 years",0.13,224490
"392","Semiconductor Processors",19.4,46.4,20.7,6.6,5.7,0.9,0.2,65.8,27.3,1.1,23540,36580,914764400,"High school diploma or equivalent","None",0.88,14990
"393","Septic Tank Servicers and Sewer Pipe Cleaners",22.3,39.1,23.5,7.1,6.7,1.1,0.2,61.4,30.6,1.3,26250,37950,1065487500,"High school diploma or equivalent","None",0.83,25430
"394","Set and Exhibit Designers",2.3,9.5,16.7,12.5,48.2,9.3,1.5,11.8,29.2,10.8,11490,53090,684689100,"Bachelor's degree","None",0.0055,11610
"395","Sewing Machine Operators",40.1,36.1,13.7,4.2,4.8,0.8,0.1,76.2,17.9,0.9,136530,24320,3583912500,"No formal educational credential","None",0.89,139510
"396","Shampooers",22.9,37,21.1,7.6,9.5,1.6,0.3,59.9,28.7,1.9,13330,20320,288594500,"No formal educational credential","None",0.79,14390
"397","Sheet Metal Workers",14,48.8,24.6,8,4,0.4,0.1,62.8,32.6,0.5,132920,47990,6925132000,"High school diploma or equivalent","None",0.82,134440
"398","Ship Engineers",11.9,37.2,30.2,4.9,13.5,2.4,0,49.1,35.1,2.4,7890,73110,615183300,"Postsecondary nondegree award","Less than 5 years",0.041,5990
"399","Shoe and Leather Workers and Repairers",24.3,43.8,18.2,3,6,3.7,1.1,68.1,21.2,4.8,7180,25610,197809000,"High school diploma or equivalent","None",0.52,6930
"400","Shoe Machine Operators and Tenders",24.3,43.8,18.2,3,6,3.7,1.1,68.1,21.2,4.8,3500,27420,96355000,"High school diploma or equivalent","None",0.97,430
"401","Signal and Track Switch Repairers",13,39.9,26.6,10.3,8.2,1.7,0.2,52.9,36.9,1.9,8300,68400,545725000,"High school diploma or equivalent","None",0.9,5910
"402","Skincare Specialists",22.9,37,21.1,7.6,9.5,1.6,0.3,59.9,28.7,1.9,44940,30080,1578742200,"Postsecondary nondegree award","None",0.29,43510
"403","Slaughterers and Meat Packers",34,39.7,17.7,4.4,3.5,0.5,0.1,73.7,22.1,0.6,77570,27530,2158773100,"No formal educational credential","None",0.6,67150
"404","Social and Community Service Managers",0.9,7.3,13.9,5.5,38.3,28.6,5.5,8.2,19.4,34.1,141830,64100,10003269900,"Bachelor's degree","Less than 5 years",0.0067,126230
"405","Social and Human Service Assistants",2.6,15.3,25,10.6,31.8,13,1.7,17.9,35.6,14.7,384080,33120,13619476800,"High school diploma or equivalent","None",0.13,360720
"406","Social Science Research Assistants",3.2,15,21,13.5,32.3,11.5,3.5,18.2,34.5,15,31500,46000,1544445000,"Bachelor's degree","None",0.65,29760
"407","Sociologists",0,3,5.5,2.4,35.6,38.7,14.9,3,7.9,53.6,2770,79650,238580100,"Master's degree","None",0.059,2650
"408","Soil and Plant Scientists",0,0,0,0,53.5,30,16.5,0,0,46.5,14180,62430,980830600,"Bachelor's degree","None",0.021,14510
"409","Sound Engineering Technicians",1.3,17.9,29.4,16.7,30.4,3.7,0.5,19.2,46.1,4.2,13370,55810,911566600,"Postsecondary nondegree award","None",0.13,14030
"410","Speech-Language Pathologists",0.3,1.1,0.6,0.9,10.3,83.5,3.4,1.4,1.5,86.9,142360,76610,11356057200,"Master's degree","None",0.0064,136010
"411","Stationary Engineers and Boiler Operators",6.5,39,30.7,10.9,10.1,2.1,0.7,45.5,41.6,2.8,32790,59890,2056260900,"High school diploma or equivalent","None",0.89,33710
"412","Statistical Assistants",4.9,27.3,26.6,10.9,21.2,7.9,1.2,32.2,37.5,9.1,10110,47400,496299900,"Bachelor's degree","None",0.66,10090
"413","Statisticians",0,0,4.1,2.3,30.2,40.6,22.8,0,6.4,63.4,36540,84060,3251329200,"Master's degree","None",0.22,33330
"414","Stock Clerks and Order Fillers",13.4,42.7,25.6,7.5,9.1,1.4,0.3,56.1,33.1,1.7,2046040,24470,56163798000,"High school diploma or equivalent","None",0.64,2016320
"415","Stonemasons",35.6,43.4,14.6,3.1,2.5,0.6,0.3,79,17.7,0.9,11990,38940,508016300,"High school diploma or equivalent","None",0.89,11190
"416","Structural Iron and Steel Workers",14.1,46.5,26.7,7.9,4.2,0.5,0.1,60.6,34.6,0.6,74420,52610,4237474800,"High school diploma or equivalent","None",0.83,69300
"417","Structural Metal Fabricators and Fitters",11.9,49.3,25.5,7.5,5.3,0.1,0.4,61.2,33,0.5,77600,38450,3142024000,"High school diploma or equivalent","None",0.41,76340
"418","Subway and Streetcar Operators",6,38,34.5,10.7,7.9,2.2,0.7,44,45.2,2.9,12070,66420,771876500,"High school diploma or equivalent","None",0.86,9400
"419","Surgical Technologists",1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.9,56.3,3.6,106470,46310,5116948200,"Postsecondary nondegree award","None",0.34,105720
"420","Survey Researchers",0,3,5.5,2.4,35.6,38.7,14.9,3,7.9,53.6,11270,54270,684089000,"Master's degree","None",0.23,11330
"421","Surveying and Mapping Technicians",5.9,28.8,38.1,20.9,5.3,0.8,0.3,34.7,59,1.1,51890,43340,2405101500,"High school diploma or equivalent","None",0.96,50320
"422","Surveyors",0.9,4.3,8.9,6.3,65.8,11,2.8,5.2,15.2,13.8,43430,61140,2835979000,"Bachelor's degree","None",0.38,43300
"423","Tapers",44.8,39.9,11.1,2.1,1.9,0.3,0,84.7,13.2,0.3,18080,51620,1004163200,"No formal educational credential","None",0.62,17960
"424","Tax Preparers",1.3,11.6,21,10,35.2,15.4,5.5,12.9,31,20.9,68720,38730,3236024800,"High school diploma or equivalent","None",0.99,63600
"425","Taxi Drivers and Chauffeurs",13.5,34.4,25.3,7.7,14.4,3.9,0.8,47.9,33,4.7,198470,24880,5453955600,"No formal educational credential","None",0.89,188870
"426","Teacher Assistants",4.3,29.3,26.2,14.5,21.1,4.2,0.6,33.6,40.7,4.8,1299800,26260,36329410000,"Some college, no degree","None",0.56,1263800
"427","Technical Writers",0.4,5.3,9.8,6.3,48.9,21.8,7.5,5.7,16.1,29.3,49960,70930,3719022400,"Bachelor's degree","Less than 5 years",0.89,49760
"428","Telecommunications Line Installers and Repairers",6.8,36.9,33.2,13.6,8.2,1.1,0.2,43.7,46.8,1.3,107090,55060,6033450600,"High school diploma or equivalent","None",0.49,95230
"429","Telemarketers",6,30.2,33.4,10.8,16.6,2.9,0.2,36.2,44.2,3.1,189670,24460,5248168900,"No formal educational credential","None",0.99,214570
"430","Telephone Operators",4.8,29.9,39.4,12,10,2.8,1.2,34.7,51.4,4,6310,36320,242367100,"High school diploma or equivalent","None",0.97,5710
"431","Tellers",2.1,35.3,33.6,12.1,15,1.7,0.3,37.4,45.7,2,491150,28110,14184412000,"High school diploma or equivalent","None",0.98,496710
"432","Terrazzo Workers and Finishers",38.9,40.9,15.1,1.3,3.2,0.5,0.2,79.8,16.4,0.7,2630,40590,119717600,"High school diploma or equivalent","None",0.88,1750
"433","Textile Bleaching and Dyeing Machine Operators and Tenders",27.5,50.5,11.9,1.9,7.5,0.7,0,78,13.8,0.7,9800,28280,285670000,"High school diploma or equivalent","None",0.97,9950
"434","Tile and Marble Setters",36.6,41.5,14.5,4,2.9,0.4,0,78.1,18.5,0.4,38820,41680,1800083400,"No formal educational credential","None",0.75,36690
"435","Timing Device Assemblers and Adjusters",17.5,46.8,22.5,6.5,5.7,0.8,0.2,64.3,29,1,680,34800,25370800,"High school diploma or equivalent","None",0.98,130
"436","Tire Builders",4.8,53.1,32.1,5.5,3.2,0.5,0.9,57.9,37.6,1.4,21910,40230,919781800,"High school diploma or equivalent","None",0.94,14700
"437","Tire Repairers and Changers",24.9,43,20.3,5.4,5.4,0.8,0.1,67.9,25.7,0.9,114690,26710,3269811900,"High school diploma or equivalent","None",0.7,108730
"438","Tool and Die Makers",6.9,41.6,30.9,17.3,3.1,0.2,0,48.5,48.2,0.2,73510,52480,3915142600,"Postsecondary nondegree award","None",0.84,72180
